"FSA","Rural.urban.quota","Region.quota"
"L7S","Urban","Ontario"
"L7T","Urban","Ontario"
"L8E","Urban","Ontario"
"L8G","Urban","Ontario"
"L8H","Urban","Ontario"
"L8J","Urban","Ontario"
"L8K","Urban","Ontario"
"L8L","Urban","Ontario"
"L8M","Urban","Ontario"
"L8N","Urban","Ontario"
"L8P","Urban","Ontario"
"L8R","Urban","Ontario"
"L8S","Urban","Ontario"
"L8T","Urban","Ontario"
"L8V","Urban","Ontario"
"L8W","Urban","Ontario"
"L9A","Urban","Ontario"
"L9B","Urban","Ontario"
"L9C","Urban","Ontario"
"L9E","Urban","Ontario"
"L9G","Urban","Ontario"
"L9H","Urban","Ontario"
"L9J","Urban","Ontario"
"L9K","Urban","Ontario"
"L9L","Urban","Ontario"
"L9M","Urban","Ontario"
"L9N","Urban","Ontario"
"L9P","Urban","Ontario"
"L9R","Urban","Ontario"
"L9S","Urban","Ontario"
"L9T","Urban","Ontario"
"L9V","Urban","Ontario"
"L9W","Urban","Ontario"
"L9Y","Urban","Ontario"
"L9Z","Urban","Ontario"
"M1B","Urban","Ontario"
"M1C","Urban","Ontario"
"M1E","Urban","Ontario"
"M1G","Urban","Ontario"
"M1H","Urban","Ontario"
"M1J","Urban","Ontario"
"M1K","Urban","Ontario"
"M1L","Urban","Ontario"
"M1M","Urban","Ontario"
"M1N","Urban","Ontario"
"M1P","Urban","Ontario"
"M1R","Urban","Ontario"
"M1S","Urban","Ontario"
"M1T","Urban","Ontario"
"M1V","Urban","Ontario"
"M1W","Urban","Ontario"
"M1X","Urban","Ontario"
"M2H","Urban","Ontario"
"M2J","Urban","Ontario"
"M2K","Urban","Ontario"
"M2L","Urban","Ontario"
"M2M","Urban","Ontario"
"M2N","Urban","Ontario"
"M2P","Urban","Ontario"
"M2R","Urban","Ontario"
"M3A","Urban","Ontario"
"M3B","Urban","Ontario"
"M3C","Urban","Ontario"
"M3H","Urban","Ontario"
"M3J","Urban","Ontario"
"M3K","Urban","Ontario"
"M3L","Urban","Ontario"
"M3M","Urban","Ontario"
"M3N","Urban","Ontario"
"M4A","Urban","Ontario"
"M4B","Urban","Ontario"
"M4C","Urban","Ontario"
"M4E","Urban","Ontario"
"M4G","Urban","Ontario"
"M4H","Urban","Ontario"
"M4J","Urban","Ontario"
"M4K","Urban","Ontario"
"M4L","Urban","Ontario"
"M4M","Urban","Ontario"
"M4N","Urban","Ontario"
"M4P","Urban","Ontario"
"M4R","Urban","Ontario"
"M4S","Urban","Ontario"
"M4T","Urban","Ontario"
"M4V","Urban","Ontario"
"M4W","Urban","Ontario"
"M4X","Urban","Ontario"
"M4Y","Urban","Ontario"
"M5A","Urban","Ontario"
"M5B","Urban","Ontario"
"M5C","Urban","Ontario"
"M5E","Urban","Ontario"
"M5G","Urban","Ontario"
"M5H","Urban","Ontario"
"M5J","Urban","Ontario"
"M5K","Urban","Ontario"
"M5L","Urban","Ontario"
"M5M","Urban","Ontario"
"M5N","Urban","Ontario"
"M5P","Urban","Ontario"
"M5R","Urban","Ontario"
"M5S","Urban","Ontario"
"M5T","Urban","Ontario"
"M5V","Urban","Ontario"
"M5W","Urban","Ontario"
"M5X","Urban","Ontario"
"M6A","Urban","Ontario"
"M6B","Urban","Ontario"
"M6C","Urban","Ontario"
"M6E","Urban","Ontario"
