Code_Postal,zone
13430,Other
13440,GP
13450,GP
13460,Other
13470,Couronne_GP
13480,GP
13490,Couronne_GP
13500,GP
13510,GP
13520,Other
13530,GP
13550,GP
13560,Other
13570,GP
13580,Couronne_GP
13590,GP
13600,GP
13610,Couronne_GP
13620,Couronne_GP
13630,GP
13640,Other
13650,Couronne_GP
13660,GP
13670,GP
13680,Couronne_GP
13690,GP
13700,GP
13710,GP
13720,GP
13720,Couronne_GP
13730,GP
13740,Couronne_GP
13750,GP
13760,Couronne_GP
13770,GP
13780,Couronne_GP
13790,GP
13800,GP
13810,GP
13820,Couronne_GP
13821,GP
13830,Couronne_GP
13840,Couronne_GP
13850,GP
13860,Couronne_GP
13870,GP
13880,GP
13890,Other
13910,GP
13920,GP
13930,Other
13940,GP
13950,GP
13960,Couronne_GP
13980,Other
13990,Other
14000,GP
14100,GP
14100,Couronne_GP
14110,Other
14111,Couronne_GP
14112,Couronne_GP
14113,GP
14114,Couronne_GP
14117,Couronne_GP
14117,Other
14120,GP
14121,Couronne_GP
14123,GP
14130,Other
14130,GP
14130,Couronne_GP
14140,Other
14140,Couronne_GP
14150,Couronne_GP
14160,Couronne_GP
14160,GP
14160,Other
14170,Other
14170,Couronne_GP
14190,Couronne_GP
14200,GP
14210,Couronne_GP
14210,GP
14220,Couronne_GP
14230,Other
14240,Couronne_GP
14240,Other
14250,Couronne_GP
14250,Other
14260,Couronne_GP
14260,Other
14270,Couronne_GP
14280,Couronne_GP
14280,GP
14290,Other
14290,Couronne_GP
14310,Couronne_GP
14320,Couronne_GP
14330,Other
14340,Other
14340,Couronne_GP
14350,Couronne_GP
14360,GP
14370,Couronne_GP
14380,Other
14380,Couronne_GP
14390,Couronne_GP
14390,GP
14400,GP
14400,Couronne_GP
14400,Other
14410,Couronne_GP
14420,Couronne_GP
14430,Other
14430,Couronne_GP
14440,Couronne_GP
14450,Other
14460,GP
14470,Couronne_GP
14480,Couronne_GP
14490,Couronne_GP
14490,Other
14500,Couronne_GP
14500,GP
14510,GP
14520,Other
14530,Couronne_GP
14540,Couronne_GP
14550,Couronne_GP
14570,Other
14570,Couronne_GP
14590,Couronne_GP
14590,Other
14600,Other
14610,Couronne_GP
14610,GP
14620,Other
14630,Couronne_GP
14640,GP
14650,GP
14670,Couronne_GP
14680,Couronne_GP
14690,Other
14700,Other
14700,Couronne_GP
14710,Other
14730,GP
14740,Couronne_GP
14750,Couronne_GP
14760,GP
14770,Couronne_GP
14770,Other
14780,Couronne_GP
14790,GP
14800,GP
14800,Couronne_GP
14810,Couronne_GP
14830,Couronne_GP
14840,GP
14850,Couronne_GP
14860,Couronne_GP
14880,Couronne_GP
14910,GP
14920,Couronne_GP
14930,Couronne_GP
14940,Couronne_GP
14950,Couronne_GP
14960,Other
14970,Couronne_GP
14980,GP
14990,Couronne_GP
15000,GP
15000,Couronne_GP
15100,Other
15110,Other
15120,Couronne_GP
15120,Other
15130,Couronne_GP
15130,GP
15140,Other
15150,Couronne_GP
15150,Other
15160,Other
15170,Other
15190,Other
15200,Other
15210,Other
15220,Couronne_GP
15220,Other
15230,Other
15240,Other
15250,Couronne_GP
15260,Other
15270,Other
15290,Couronne_GP
15290,Other
15300,Other
15310,Couronne_GP
15310,Other
15320,Other
15340,Other
15350,Other
15380,Other
15400,Other
15430,Other
15500,Other
15590,Couronne_GP
15590,Other
15600,Other
15700,Other
15800,Couronne_GP
15800,Other
16000,GP
16100,Couronne_GP
16100,GP
16110,Couronne_GP
16120,Couronne_GP
16120,Other
16130,Couronne_GP
16130,Other
16140,Couronne_GP
16140,Other
16150,Other
16160,GP
16170,Couronne_GP
16170,Other
16190,Other
16200,Other
16200,Couronne_GP
16210,Other
16220,Couronne_GP
16220,Other
16230,Couronne_GP
16230,Other
16240,Other
16250,Couronne_GP
16250,Other
16260,Couronne_GP
16260,Other
16270,Other
16290,Couronne_GP
16300,Other
16310,Couronne_GP
16310,Other
16320,Couronne_GP
16330,Couronne_GP
16340,GP
16350,Other
16360,Other
16370,Couronne_GP
16380,Couronne_GP
16380,Other
16390,Other
16400,GP
16410,Couronne_GP
16420,Other
16430,Couronne_GP
16430,GP
16440,Couronne_GP
16440,GP
16450,Other
16460,Other
16470,GP
16480,Other
16490,Other
16500,Other
16510,Other
16560,Couronne_GP
16570,Couronne_GP
16590,Couronne_GP
16600,GP
16620,Other
16700,Other
16710,GP
16720,Other
16730,GP
16800,GP
17000,GP
17100,Couronne_GP
17100,GP
17110,GP
17111,Other
17113,Couronne_GP
17120,Other
17120,Couronne_GP
17123,Other
17130,Other
17132,GP
17137,Couronne_GP
17137,GP
17138,GP
17138,Couronne_GP
17139,GP
17140,GP
17150,Other
17160,Other
17170,Couronne_GP
17180,GP
17190,Other
17200,GP
17200,Couronne_GP
17210,Other
17210,Couronne_GP
17220,Couronne_GP
17220,GP
17230,Couronne_GP
17240,Other
17250,Other
17250,Couronne_GP
17260,Other
17270,Other
17290,Couronne_GP
17300,GP
17310,Other
17320,Other
17330,Other
17340,GP
17340,Couronne_GP
17350,Other
17350,Couronne_GP
17360,Other
17370,Other
17380,Other
17390,Other
17400,Other
17410,Other
17420,GP
17430,Other
17430,Couronne_GP
17430,GP
17440,GP
17450,Other
17460,Couronne_GP
17470,Other
17480,Other
17490,Other
17500,Other
17510,Other
17520,Other
17520,Couronne_GP
17530,Other
17540,Couronne_GP
17550,Other
17560,Other
17570,Other
17570,GP
17580,Other
17590,Other
17600,Other
17600,Couronne_GP
17610,Other
17610,Couronne_GP
17620,Other
17620,GP
17620,Couronne_GP
17630,Other
17640,GP
17650,Other
17670,Other
17690,GP
17700,Other
17700,Couronne_GP
17730,Couronne_GP
17740,Other
17750,Other
17770,Other
17770,Couronne_GP
17780,Couronne_GP
17800,Other
17800,Couronne_GP
17810,Couronne_GP
17840,Other
17870,Couronne_GP
17870,GP
17880,Other
17890,Other
17920,Couronne_GP
17940,Other
18000,GP
18100,Couronne_GP
18100,GP
18110,GP
18110,Couronne_GP
18120,Couronne_GP
18120,Other
18120,GP
18130,Other
18130,Couronne_GP
18140,Other
18140,Couronne_GP
18150,Other
18150,Couronne_GP
18160,Other
18170,Other
18190,Other
18190,Couronne_GP
18200,Other
18210,Other
18220,Other
18220,Couronne_GP
18230,GP
18240,Other
18250,Other
18250,Couronne_GP
18260,Other
18270,Other
18290,Other
18290,Couronne_GP
18300,Other
18310,Other
18310,Couronne_GP
18320,Other
18320,Couronne_GP
18330,Other
18330,Couronne_GP
18340,Couronne_GP
18350,Other
18360,Other
18370,Other
18380,Other
18390,Couronne_GP
18390,GP
18400,Couronne_GP
18410,Other
18500,Couronne_GP
18500,Other
18510,Couronne_GP
18520,Other
18570,Couronne_GP
18600,Other
18700,Other
18800,Other
19000,GP
19000,Couronne_GP
19100,GP
19110,Other
19120,Other
19130,Couronne_GP
19130,Other
19140,Other
19150,Other
19150,Couronne_GP
19150,GP
19160,Other
19170,Other
19190,Other
19190,Couronne_GP
19200,Other
19210,Other
19220,Other
19230,Other
19240,Couronne_GP
19240,GP
19250,Other
19260,Other
19270,Couronne_GP
19270,GP
19290,Other
19300,Other
19310,Other
19310,Couronne_GP
19320,Other
19320,Couronne_GP
19330,GP
19330,Couronne_GP
19340,Other
19350,Other
19360,Couronne_GP
19360,GP
19370,Other
19380,Other
19390,Other
19390,Couronne_GP
19400,Other
19410,Other
19410,Couronne_GP
19430,Other
19450,Other
19460,Couronne_GP
19470,Other
19490,GP
19500,Other
19500,Couronne_GP
19510,Other
19520,Couronne_GP
19520,Other
19550,Other
19560,Couronne_GP
19600,Couronne_GP
19600,GP
19700,Other
19800,Other
19800,Couronne_GP
20000,GP
20100,Other
20110,Other
20111,Couronne_GP
20112,Other
20113,Other
20114,Other
20115,Other
20116,Other
20117,Couronne_GP
20119,Other
20121,Couronne_GP
20121,Other
20122,Other
20123,Couronne_GP
20123,Other
20124,Other
20125,Other
20126,Other
20127,Other
20128,Couronne_GP
20129,Couronne_GP
20130,Other
20131,Other
20132,Other
20133,Couronne_GP
20134,Couronne_GP
20134,Other
20135,Other
20136,Couronne_GP
20137,Other
20138,Couronne_GP
20139,Couronne_GP
20140,Couronne_GP
20140,Other
20141,Other
20142,Couronne_GP
20142,Other
20143,Other
20145,Other
20146,Other
20147,Other
20148,Other
20150,Other
20151,Couronne_GP
20152,Other
20153,Couronne_GP
20157,Couronne_GP
20160,Couronne_GP
20160,Other
20163,Couronne_GP
20164,Other
20165,Other
20166,Couronne_GP
20167,Couronne_GP
20168,Couronne_GP
20169,Other
20170,Other
20171,Other
20172,Couronne_GP
20173,Couronne_GP
20190,Couronne_GP
20200,GP
20200,GP
20212,Other
20213,Other
20213,Couronne_GP
20214,Other
20215,Couronne_GP
20215,Other
20217,Couronne_GP
20217,Other
20218,Other
20219,Other
20220,Other
20221,Other
20222,GP
20224,Other
20225,Other
20226,Other
20227,Other
20228,Other
20229,Other
20230,Other
20230,Couronne_GP
20231,Other
20232,Couronne_GP
20232,Other
20233,Couronne_GP
20234,Other
20235,Couronne_GP
20236,Other
20237,Other
20237,Couronne_GP
20238,Other
20239,Couronne_GP
20240,Other
20242,Other
20243,Other
20244,Other
20245,Other
20246,Couronne_GP
20246,Other
20247,Other
20248,Other
20250,Other
20251,Other
20251,Other
20252,Couronne_GP
20253,Couronne_GP
20256,Other
20259,Other
20260,Other
20270,Other
20272,Other
20275,Other
20276,Other
20279,Other
20287,Other
20290,Couronne_GP
20600,GP
20620,GP
21000,GP
21110,Couronne_GP
21120,Couronne_GP
21121,Couronne_GP
21121,GP
21130,Couronne_GP
21130,Other
21140,Other
21150,Other
21160,Couronne_GP
21160,GP
21170,Couronne_GP
21190,Couronne_GP
21190,Other
21200,Couronne_GP
21200,GP
21210,Other
21220,Couronne_GP
21220,Other
21230,Other
21240,GP
21250,Couronne_GP
21250,Other
21260,Couronne_GP
21270,Couronne_GP
21290,Other
21290,Couronne_GP
21300,GP
21310,Couronne_GP
21320,Other
21320,Couronne_GP
21330,Other
21340,Other
21350,Other
21350,Couronne_GP
21360,Other
21360,Couronne_GP
21370,Couronne_GP
21370,GP
21380,Couronne_GP
21390,Other
21400,Other
21410,Couronne_GP
21420,Couronne_GP
21420,Other
21430,Other
21440,Other
21440,Couronne_GP
21450,Other
21460,Other
21470,Couronne_GP
21490,Couronne_GP
21500,Other
21510,Other
21520,Other
21530,Other
21540,Other
21540,Couronne_GP
21550,Couronne_GP
21560,Couronne_GP
21570,Other
21580,Other
21580,Couronne_GP
21590,Other
21600,GP
21600,Couronne_GP
21610,Couronne_GP
21610,Other
21630,Other
21640,Couronne_GP
21690,Other
21690,Couronne_GP
21700,Other
21700,Couronne_GP
21760,Couronne_GP
21800,GP
21820,Other
21850,GP
21910,Couronne_GP
22000,GP
22100,GP
22100,Couronne_GP
22100,Other
22110,Other
22120,Couronne_GP
22120,GP
22130,Other
22140,Other
22140,Couronne_GP
22150,Other
22150,Couronne_GP
22160,Other
22170,Other
22170,Couronne_GP
22170,GP
22190,GP
22200,GP
22200,Couronne_GP
22200,Other
22210,Other
22220,Other
22230,Other
22240,Other
22250,Other
22260,Other
22270,Other
22290,Other
22290,Couronne_GP
22300,Couronne_GP
22300,GP
22310,Other
22310,Couronne_GP
22320,Other
22320,Couronne_GP
22330,Other
22340,Other
22350,Other
22360,GP
22370,Other
22380,Other
