"zipcode","urbanity","region"
42450,2,"sud-est"
42390,1,"sud-est"
42240,1,"sud-est"
42330,2,"sud-est"
42500,1,"sud-est"
49700,2,"reste"
49730,3,"reste"
49800,3,"reste"
56140,3,"reste"
56270,1,"reste"
56880,1,"reste"
56800,2,"reste"
56320,3,"reste"
56400,3,"reste"
56290,1,"reste"
56200,3,"reste"
56160,3,"reste"
56150,3,"reste"
56480,3,"reste"
56170,3,"reste"
22370,3,"reste"
22260,3,"reste"
27120,3,"reste"
27140,3,"reste"
38240,1,"sud-est"
38170,1,"sud-est"
38110,2,"sud-est"
49130,1,"reste"
49420,3,"reste"
49190,3,"reste"
49170,3,"reste"
49080,1,"reste"
50340,3,"reste"
49500,3,"reste"
49530,3,"reste"
50260,3,"reste"
50500,2,"reste"
49280,2,"reste"
11200,3,"sud-est"
11350,3,"sud-est"
11290,3,"sud-est"
11800,3,"sud-est"
12140,3,"sud-ouest"
12240,3,"sud-ouest"
3210,3,"sud-ouest"
3420,3,"sud-est"
3370,3,"sud-ouest"
3300,2,"sud-ouest"
3630,2,"reste"
3290,3,"sud-ouest"
3100,2,"sud-ouest"
3170,3,"sud-ouest"
3330,3,"sud-ouest"
3160,3,"sud-ouest"
3250,3,"sud-ouest"
12440,3,"sud-ouest"
12600,3,"sud-ouest"
12540,3,"sud-ouest"
12380,3,"sud-ouest"
12550,3,"sud-ouest"
24100,2,"sud-ouest"
26320,1,"sud-est"
26530,3,"sud-est"
26210,3,"sud-est"
26380,3,"sud-est"
26100,2,"sud-est"
26420,3,"sud-est"
26330,3,"sud-est"
24140,3,"sud-ouest"
61790,3,"reste"
61410,3,"reste"
60140,3,"nord"
63840,3,"sud-est"
63530,2,"sud-est"
63660,3,"sud-est"
63700,3,"sud-est"
63470,3,"sud-est"
70210,3,"est"
70700,3,"est"
56840,1,"reste"
56660,3,"reste"
56690,3,"reste"
56230,3,"reste"
56370,3,"reste"
56860,1,"reste"
56740,3,"reste"
56450,1,"reste"
56220,3,"reste"
76290,1,"reste"
76310,1,"reste"
76360,2,"reste"
76250,1,"reste"
76350,1,"reste"
76340,3,"reste"
70800,3,"est"
70280,3,"est"
70250,3,"est"
70600,3,"est"
72400,2,"reste"
72540,3,"reste"
72160,3,"reste"
72130,3,"reste"
72320,3,"reste"
72290,3,"reste"
72450,3,"reste"
72500,2,"reste"
72300,3,"reste"
90700,1,"est"
90350,1,"est"
49460,1,"reste"
49220,3,"reste"
49390,3,"reste"
49160,3,"reste"
49480,1,"reste"
52270,3,"est"
52400,3,"est"
52130,3,"est"
52120,3,"est"
50710,3,"reste"
50320,3,"reste"
50870,3,"reste"
50420,3,"reste"
50760,3,"reste"
50600,3,"reste"
50410,3,"reste"
50880,3,"reste"
50580,3,"reste"
60710,3,"nord"
60620,3,"nord"
19120,3,"sud-ouest"
19500,3,"sud-ouest"
19310,3,"sud-ouest"
19370,3,"sud-ouest"
19390,3,"sud-ouest"
19490,3,"sud-ouest"
19150,3,"sud-ouest"
19220,3,"sud-ouest"
19240,1,"sud-ouest"
22930,3,"reste"
22810,3,"reste"
22980,3,"reste"
22740,3,"reste"
27740,2,"reste"
27820,3,"reste"
27690,2,"reste"
27560,3,"reste"
27210,3,"reste"
27260,3,"reste"
27890,3,"reste"
29490,1,"reste"
24120,3,"sud-ouest"
26400,2,"sud-est"
29990,3,"reste"
29800,2,"reste"
29790,3,"reste"
29940,3,"reste"
29820,1,"reste"
35131,1,"reste"
35210,3,"reste"
35510,1,"reste"
35190,3,"reste"
35390,3,"reste"
35230,1,"reste"
35133,2,"reste"
35150,2,"reste"
35450,3,"reste"
35870,3,"reste"
35470,3,"reste"
35000,1,"reste"
35780,2,"reste"
42800,1,"sud-est"
42610,3,"sud-est"
42550,3,"sud-est"
42920,3,"sud-est"
90300,1,"est"
60870,2,"nord"
85640,3,"reste"
85700,3,"reste"
85710,3,"reste"
85800,2,"reste"
85590,3,"reste"
85240,3,"reste"
